,latitud,longitud,alquiler,traspaso,tamaño,tipo_local
0,41.44675182936625,2.249568399826537,850,29000,60,hosteleria
1,41.44986341360896,2.250128244168245,1580,50000,53,centro estetico
2,41.450478258003564,2.2458089065921722,800,24000,45,pizzeria
3,41.446655306741874,2.248876169047701,1200,50000,60,cafeteria
