,Fecha,T. media,T. minima,T. maxima,Precipitacion,Nieve,Velocidad viento
95,2024-04-05,16.1,11.0,24.0,0.0,0.0,6.8
96,2024-04-06,14.8,8.0,21.0,0.0,0.0,7.1
97,2024-04-07,16.3,12.0,21.0,0.0,0.0,6.5
98,2024-04-08,16.6,12.0,22.0,0.0,0.0,7.1
99,2024-04-09,13.9,9.0,21.0,1.9,0.0,14.6
100,2024-04-10,12.3,6.0,18.0,0.0,0.0,8.8
101,2024-04-11,13.8,5.8,21.0,0.0,0.0,8.2
102,2024-04-12,16.2,8.0,24.0,0.0,0.0,7.3
103,2024-04-13,17.8,10.0,26.0,0.0,0.0,8.8
104,2024-04-14,19.3,10.0,29.0,0.0,0.0,8.2
105,2024-04-15,17.3,12.0,24.0,0.0,0.0,7.9
106,2024-04-16,15.7,12.0,20.0,1.4,0.0,12.6
107,2024-04-17,13.6,9.0,18.0,6.2,0.0,13.5
108,2024-04-18,13.2,10.0,17.0,3.4,0.0,10.2
109,2024-04-19,13.1,5.0,21.0,0.0,0.0,9.9
110,2024-04-20,14.2,7.0,18.0,0.0,0.0,10.3
111,2024-04-21,13.2,9.0,18.0,0.4,0.0,8.0
112,2024-04-22,10.5,8.0,15.0,15.4,0.0,9.0
113,2024-04-23,9.9,6.0,14.0,0.9,0.0,7.5
114,2024-04-24,10.6,2.0,18.0,0.0,0.0,9.7
115,2024-04-25,12.3,11.0,14.0,1.1,0.0,9.2
116,2024-04-26,14.0,8.0,18.0,0.1,0.0,8.3
117,2024-04-27,15.8,14.0,18.0,4.4,0.0,12.3
118,2024-04-28,14.8,14.0,16.0,3.0,0.0,6.7
119,2024-04-29,13.0,12.0,14.0,57.0,0.0,6.3
120,2024-04-30,14.6,13.0,18.0,3.8,0.0,7.2
121,2024-05-01,15.5,11.0,21.0,5.9,0.0,11.7
122,2024-05-02,13.7,8.0,20.0,0.1,0.0,14.2
123,2024-05-03,14.4,6.0,22.0,0.0,0.0,10.7
124,2024-05-04,17.5,9.0,26.0,0.0,0.0,9.3
125,2024-05-05,16.8,10.0,22.0,0.0,0.0,8.0
126,2024-05-06,17.1,14.0,23.0,0.8,0.0,10.5
127,2024-05-07,16.0,13.0,20.0,1.7,0.0,10.9
128,2024-05-08,16.8,10.0,24.0,0.0,0.0,9.2
129,2024-05-09,17.9,10.0,24.0,0.0,0.0,9.8
130,2024-05-10,18.8,11.0,26.0,0.0,0.0,8.6
131,2024-05-11,18.8,11.0,25.0,0.0,0.0,8.0
132,2024-05-12,18.1,12.0,25.0,0.4,0.0,7.7
133,2024-05-13,18.5,13.0,24.0,0.1,0.0,8.3
134,2024-05-14,17.2,16.0,20.0,13.3,0.0,7.1
135,2024-05-15,16.2,13.0,19.0,7.2,0.0,6.8
136,2024-05-16,14.6,10.0,19.0,1.8,0.0,5.2
137,2024-05-17,16.1,12.0,21.0,6.1,0.0,8.2
138,2024-05-18,15.9,12.0,20.0,2.9,0.0,8.4
139,2024-05-19,16.8,11.0,21.0,0.1,0.0,8.8
140,2024-05-20,18.9,15.0,24.0,2.7,0.0,10.2
141,2024-05-21,18.1,12.0,23.0,3.8,0.0,9.9
142,2024-05-22,17.0,14.0,20.0,7.3,0.0,9.7
143,2024-05-23,16.5,11.0,21.0,1.2,0.0,10.6
144,2024-05-24,17.4,14.0,21.0,1.4,0.0,9.6
145,2024-05-25,17.7,11.0,24.0,0.0,0.0,8.3
146,2024-05-26,19.0,13.0,25.0,0.0,0.0,9.3
147,2024-05-27,19.8,16.0,24.0,0.0,0.0,9.6
148,2024-05-28,20.0,16.0,24.0,0.0,0.0,8.7
149,2024-05-29,20.4,15.0,26.0,0.0,0.0,8.6
150,2024-05-30,21.0,17.0,27.0,0.0,0.0,9.9
151,2024-05-31,20.0,16.0,24.0,1.0,0.0,12.9
152,2024-06-01,18.3,15.0,22.0,3.6,0.0,9.5
153,2024-06-02,18.9,14.0,23.0,1.2,0.0,7.8
154,2024-06-03,21.1,15.0,27.0,1.6,0.0,10.3
155,2024-06-04,21.5,17.0,26.0,0.0,0.0,10.2
156,2024-06-05,21.8,16.0,28.0,0.0,0.0,10.1
157,2024-06-06,23.7,16.0,32.0,0.0,0.0,9.1
158,2024-06-07,23.7,17.0,30.0,0.0,0.0,8.5
159,2024-06-08,24.0,21.0,28.0,0.3,0.0,11.5
160,2024-06-09,21.7,19.0,24.0,3.5,0.0,8.1
161,2024-06-10,19.5,18.0,21.0,0.6,0.0,4.8
162,2024-06-11,18.0,16.0,20.0,3.2,0.0,6.2
163,2024-06-12,17.3,14.0,22.0,44.3,0.0,8.4
164,2024-06-13,18.3,12.0,24.0,6.8,0.0,9.1
165,2024-06-14,22.0,17.0,28.0,0.0,0.0,8.2
166,2024-06-15,19.8,15.0,23.0,0.0,0.0,11.6
167,2024-06-16,20.0,13.4,25.0,0.0,0.0,9.9
168,2024-06-17,22.0,16.0,28.0,0.0,0.0,8.8
169,2024-06-18,23.3,16.0,30.0,0.0,0.0,10.7
170,2024-06-19,21.8,18.0,25.0,0.3,0.0,10.1
171,2024-06-20,21.4,19.0,24.0,8.0,0.0,8.2
172,2024-06-21,22.0,17.0,28.0,0.0,0.0,12.0
173,2024-06-22,21.8,17.0,26.0,0.5,0.0,8.8
174,2024-06-23,20.8,19.0,24.0,5.2,0.0,9.3
175,2024-06-24,22.9,19.0,27.0,1.1,0.0,8.3
176,2024-06-25,24.2,19.0,29.0,0.1,0.0,11.1
177,2024-06-26,23.9,19.0,30.0,0.0,0.0,9.2
178,2024-06-27,24.1,19.0,28.0,0.0,0.0,9.0
179,2024-06-28,25.0,18.0,31.0,0.0,0.0,11.6
180,2024-06-29,23.6,17.0,27.0,5.6,0.0,9.9
181,2024-06-30,22.3,19.0,26.0,0.0,0.0,9.2
182,2024-07-01,21.0,18.0,25.0,15.2,0.0,6.6
183,2024-07-02,21.4,17.0,25.0,0.1,0.0,10.7
184,2024-07-03,21.5,18.0,25.0,1.2,0.0,10.8
185,2024-07-04,21.8,16.0,26.0,0.0,0.0,8.9
186,2024-07-05,24.0,18.0,29.0,0.0,0.0,8.9
187,2024-07-06,24.0,21.0,28.0,0.0,0.0,9.9
188,2024-07-07,23.3,20.0,27.0,7.6,0.0,9.8
189,2024-07-08,24.3,19.0,30.0,0.0,0.0,9.7
190,2024-07-09,25.2,18.0,31.0,0.0,0.0,8.5
191,2024-07-10,26.0,19.0,31.0,0.0,0.0,8.4
192,2024-07-11,27.8,22.0,33.0,0.0,0.0,9.2
193,2024-07-12,25.5,22.0,29.0,0.0,0.0,10.1
194,2024-07-13,22.8,21.0,25.0,1.3,0.0,8.9
195,2024-07-14,24.5,18.0,31.0,0.0,0.0,10.8
196,2024-07-15,26.0,20.0,31.0,0.0,0.0,8.6
197,2024-07-16,25.8,22.0,30.0,0.0,0.0,9.8
198,2024-07-17,24.9,19.0,30.0,0.0,0.0,10.0
199,2024-07-18,27.0,20.0,33.0,0.0,0.0,8.5
200,2024-07-19,28.1,24.0,33.0,0.0,0.0,9.9
201,2024-07-20,27.2,21.0,33.0,0.0,0.0,8.7
202,2024-07-21,25.3,23.0,30.0,5.1,0.0,11.5
203,2024-07-22,25.8,19.0,32.0,0.0,0.0,9.4
204,2024-07-23,25.8,18.0,33.0,0.0,0.0,9.0
205,2024-07-24,27.3,21.0,33.0,0.0,0.0,9.9
206,2024-07-25,26.2,20.0,32.0,0.0,0.0,9.7
207,2024-07-26,27.0,21.0,32.0,0.0,0.0,8.7
208,2024-07-27,26.8,19.0,33.0,0.0,0.0,10.4
209,2024-07-28,27.2,22.0,33.0,0.0,0.0,7.7
210,2024-07-29,28.4,19.0,37.0,0.0,0.0,9.6
211,2024-07-30,30.7,23.0,40.0,0.0,0.0,8.2
212,2024-07-31,30.4,21.0,39.0,0.0,0.0,9.0
213,2024-08-01,28.4,23.0,34.0,0.0,0.0,10.0
214,2024-08-02,27.3,21.0,34.0,0.4,0.0,12.1
215,2024-08-03,25.5,20.0,31.0,0.0,0.0,9.2
216,2024-08-04,26.7,21.0,32.0,0.0,0.0,8.1
217,2024-08-05,26.9,21.0,33.0,0.0,0.0,8.4
218,2024-08-06,27.8,22.0,34.0,0.0,0.0,7.7
219,2024-08-07,27.2,22.0,32.0,0.0,0.0,9.4
220,2024-08-08,26.7,21.0,33.0,0.0,0.0,10.4
221,2024-08-09,27.5,21.0,33.0,0.0,0.0,9.3
222,2024-08-10,28.1,22.0,33.0,0.0,0.0,9.1
223,2024-08-11,26.6,22.0,30.0,0.0,0.0,11.1
224,2024-08-12,26.5,21.0,31.0,0.0,0.0,9.0
225,2024-08-13,26.8,22.0,34.0,0.7,0.0,6.8
226,2024-08-14,25.0,21.0,30.0,6.6,0.0,9.4
227,2024-08-15,23.4,20.0,29.0,2.7,0.0,7.5
228,2024-08-16,24.3,20.0,29.0,10.3,0.0,7.9
229,2024-08-17,26.3,20.0,32.0,0.0,0.0,8.3
230,2024-08-18,24.2,22.0,27.0,3.6,0.0,7.7
231,2024-08-19,24.0,20.0,29.0,1.5,0.0,7.6
232,2024-08-20,24.8,18.0,31.0,0.0,0.0,8.2
233,2024-08-21,25.2,19.0,31.0,0.0,0.0,9.0
234,2024-08-22,26.9,23.0,32.0,0.1,0.0,6.7
235,2024-08-23,27.1,23.0,32.0,0.0,0.0,7.1
236,2024-08-24,26.8,22.0,33.0,0.0,0.0,8.6
237,2024-08-25,26.0,23.0,30.0,0.1,0.0,9.4
238,2024-08-26,25.0,21.0,30.0,0.2,0.0,11.2
239,2024-08-27,25.9,22.0,30.0,0.1,0.0,8.2
240,2024-08-28,25.8,21.0,29.0,0.0,0.0,10.2
241,2024-08-29,25.0,22.0,29.0,0.0,0.0,8.6
242,2024-08-30,24.0,17.0,30.0,0.0,0.0,9.2
243,2024-08-31,25.4,21.0,30.0,0.0,0.0,6.8
244,2024-09-01,24.6,22.0,29.0,0.1,0.0,7.2
245,2024-09-02,24.3,18.0,30.0,0.0,0.0,9.1
246,2024-09-03,21.8,19.0,25.0,3.9,0.0,5.4
247,2024-09-04,19.1,17.0,23.0,7.5,0.0,5.5
248,2024-09-05,19.8,15.0,26.0,0.1,0.0,8.6
249,2024-09-06,22.3,19.0,26.0,6.0,0.0,10.1
250,2024-09-07,24.5,19.0,29.0,0.6,0.0,8.2
251,2024-09-08,21.8,19.0,24.0,5.1,0.0,5.6
252,2024-09-09,21.6,16.0,27.0,2.0,0.0,7.7
253,2024-09-10,21.3,17.0,27.0,0.0,0.0,8.0
254,2024-09-11,20.2,15.0,25.0,0.2,0.0,7.9
255,2024-09-12,19.1,16.0,22.0,4.5,0.0,9.9
256,2024-09-13,16.8,12.0,23.0,0.0,0.0,7.7
257,2024-09-14,17.8,11.0,25.0,0.0,0.0,8.3
258,2024-09-15,19.4,11.0,28.0,0.0,0.0,7.8
259,2024-09-16,19.3,11.0,28.0,0.0,0.0,6.9
260,2024-09-17,18.1,13.0,24.0,1.2,0.0,6.9
261,2024-09-18,18.3,17.0,21.0,1.5,0.0,7.6
262,2024-09-19,18.5,14.0,23.0,0.4,0.0,10.4
263,2024-09-20,17.9,15.0,21.0,6.5,0.0,4.9
264,2024-09-21,19.5,18.0,21.0,0.7,0.0,8.8
265,2024-09-22,19.2,17.0,23.0,4.2,0.0,3.5
266,2024-09-23,19.5,17.0,23.0,4.7,0.0,7.6
267,2024-09-24,20.5,16.0,27.0,0.9,0.0,6.6
268,2024-09-25,20.0,13.0,26.0,0.0,0.0,9.0
269,2024-09-26,24.7,19.0,31.0,0.0,0.0,12.2
270,2024-09-27,21.6,17.0,25.0,0.0,0.0,15.8
271,2024-09-28,16.7,11.0,22.0,0.0,0.0,8.6
272,2024-09-29,17.7,11.0,25.0,0.1,0.0,8.4
273,2024-09-30,20.2,14.0,26.0,0.0,0.0,8.0
274,2024-10-01,20.5,16.0,27.0,0.0,0.0,8.5
275,2024-10-02,19.3,16.0,24.0,24.7,0.0,8.2
276,2024-10-03,17.0,13.0,22.0,12.0,0.0,8.7
277,2024-10-04,16.0,11.0,23.0,0.0,0.0,9.2
278,2024-10-05,16.8,12.0,23.0,0.8,0.0,6.4
279,2024-10-06,19.8,15.0,27.0,0.0,0.0,3.8
280,2024-10-07,20.6,18.0,25.0,0.0,0.0,3.5
281,2024-10-08,19.1,15.0,23.0,2.5,0.0,16.8
282,2024-10-09,20.0,16.0,25.0,0.0,0.0,13.6
283,2024-10-10,18.3,14.3,21.0,0.0,0.0,12.3
284,2024-10-11,16.7,13.2,21.0,0.0,0.0,8.7
285,2024-10-12,16.5,13.0,21.0,2.5,0.0,2.7
286,2024-10-13,17.6,13.0,22.0,0.0,0.0,6.6
287,2024-10-14,19.3,16.0,24.0,0.0,0.0,4.9
288,2024-10-15,20.2,18.0,23.0,27.8,0.0,8.6
289,2024-10-16,20.0,17.0,24.0,9.0,0.0,6.7
290,2024-10-17,18.2,15.0,21.0,5.8,0.0,9.5
291,2024-10-18,15.3,13.0,18.0,0.0,0.0,11.0
292,2024-10-19,14.8,9.0,23.0,0.0,0.0,3.9
293,2024-10-20,16.7,11.0,25.0,0.0,0.0,4.4
294,2024-10-21,17.3,12.0,23.0,0.0,0.0,5.6
295,2024-10-22,16.9,13.0,22.0,0.0,0.0,6.9
296,2024-10-23,16.7,11.0,23.0,0.1,0.0,5.8
297,2024-10-24,16.1,12.0,21.0,0.8,0.0,5.8
298,2024-10-25,16.8,12.0,22.0,3.7,0.0,4.0
299,2024-10-26,14.7,11.0,18.0,36.6,0.0,4.7
300,2024-10-27,13.7,9.0,19.0,0.9,0.0,5.3
301,2024-10-28,17.0,13.0,20.0,2.2,0.0,6.7
302,2024-10-29,18.4,14.0,21.0,0.0,0.0,11.7
303,2024-10-30,18.2,17.0,19.0,32.2,0.0,10.2
304,2024-10-31,19.0,17.0,23.0,3.1,0.0,7.7
305,2024-11-01,16.1,12.0,20.0,3.6,0.0,5.4
306,2024-11-02,16.3,13.0,20.0,12.8,0.0,9.2
307,2024-11-03,15.8,11.0,20.0,6.3,0.0,4.7
308,2024-11-04,17.3,15.0,19.0,8.6,0.0,7.8
309,2024-11-05,18.0,15.0,22.0,1.5,0.0,3.2
310,2024-11-06,16.6,13.0,21.0,3.2,0.0,5.0
