año;municipio;edad año a año;sexo;concepto;estado;valor
2022;Badalona;61 años;mujeres;población;;1395
2022;Badalona;62 años;hombres;población;;1238
2022;Badalona;62 años;mujeres;población;;1438
2022;Badalona;63 años;hombres;población;;1296
2022;Badalona;63 años;mujeres;población;;1384
2022;Badalona;64 años;hombres;población;;1170
2022;Badalona;64 años;mujeres;población;;1437
2022;Badalona;65 años;hombres;población;;1102
2022;Badalona;65 años;mujeres;población;;1334
2022;Badalona;66 años;hombres;población;;1149
2022;Badalona;66 años;mujeres;población;;1322
2022;Badalona;67 años;hombres;población;;1126
2022;Badalona;67 años;mujeres;población;;1337
2022;Badalona;68 años;hombres;población;;1146
2022;Badalona;68 años;mujeres;población;;1312
2022;Badalona;69 años;hombres;población;;1122
2022;Badalona;69 años;mujeres;población;;1338
2022;Badalona;70 años;hombres;población;;1012
2022;Badalona;70 años;mujeres;población;;1175
2022;Badalona;71 años;hombres;población;;963
2022;Badalona;71 años;mujeres;población;;1134
2022;Badalona;72 años;hombres;población;;1014
2022;Badalona;72 años;mujeres;población;;1218
2022;Badalona;73 años;hombres;población;;1044
2022;Badalona;73 años;mujeres;población;;1317
2022;Badalona;74 años;hombres;población;;938
2022;Badalona;74 años;mujeres;población;;1114
2022;Badalona;75 años;hombres;población;;817
2022;Badalona;75 años;mujeres;población;;1035
2022;Badalona;76 años;hombres;población;;891
2022;Badalona;76 años;mujeres;población;;1066
2022;Badalona;77 años;hombres;población;;749
2022;Badalona;77 años;mujeres;población;;998
2022;Badalona;78 años;hombres;población;;745
2022;Badalona;78 años;mujeres;población;;964
2022;Badalona;79 años;hombres;población;;590
2022;Badalona;79 años;mujeres;población;;773
2022;Badalona;80 años;hombres;población;;510
2022;Badalona;80 años;mujeres;población;;658
2022;Badalona;81 años;hombres;población;;587
2022;Badalona;81 años;mujeres;población;;867
2022;Badalona;82 años;hombres;población;;322
2022;Badalona;82 años;mujeres;población;;517
2022;Badalona;83 años;hombres;población;;393
2022;Badalona;83 años;mujeres;población;;578
2022;Badalona;84 años;hombres;población;;454
2022;Badalona;84 años;mujeres;población;;689
2022;Badalona;85 años;hombres;población;;375
2022;Badalona;85 años;mujeres;población;;614
2022;Badalona;86 años;hombres;población;;345
2022;Badalona;86 años;mujeres;población;;535
2022;Badalona;87 años;hombres;población;;280
2022;Badalona;87 años;mujeres;población;;486
2022;Badalona;88 años;hombres;población;;228
2022;Badalona;88 años;mujeres;población;;451
2022;Badalona;89 años;hombres;población;;209
2022;Badalona;89 años;mujeres;población;;436
2022;Badalona;90 años;hombres;población;;172
2022;Badalona;90 años;mujeres;población;;358
2022;Badalona;91 años;hombres;población;;144
2022;Badalona;91 años;mujeres;población;;323
2022;Badalona;92 años;hombres;población;;117
2022;Badalona;92 años;mujeres;población;;210
2022;Badalona;93 años;hombres;población;;74
2022;Badalona;93 años;mujeres;población;;186
2022;Badalona;94 años;hombres;población;;50
2022;Badalona;94 años;mujeres;población;;131
2022;Badalona;95 años;hombres;población;;39
2022;Badalona;95 años;mujeres;población;;93
2022;Badalona;96 años;hombres;población;;24
2022;Badalona;96 años;mujeres;población;;74
2022;Badalona;97 años;hombres;población;;23
2022;Badalona;97 años;mujeres;población;;66
2022;Badalona;98 años;hombres;población;;9
2022;Badalona;98 años;mujeres;población;;35
2022;Badalona;99 años;hombres;población;;9
2022;Badalona;99 años;mujeres;población;;34
2022;Badalona;100 años o más;hombres;población;;12
2022;Badalona;100 años o más;mujeres;población;;39
