,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
41,El Punt de Cafè,"4,7",(40),"4,7(40) · 1-10 €","Cafetería ·  · Carrer de Güell i Ferrer, s/n
Abierto ⋅ Cierra a las 14:00","Cafetería ·  · Carrer de Güell i Ferrer, s/n"
42,Panadería Fleca Gisbert,"4,4",(93),"4,4(93) · 1-10 €","Panadería · Carretera de Canyet, 6
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 17:00","Panadería · Carretera de Canyet, 6"
43,Cafeteria Centre,"4,1",(540),"4,1(540) · 1-10 €","Cafetería ·  · Av. de Martí Pujol, 201
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Av. de Martí Pujol, 201"
44,Baires,"4,6",(1.474),"4,6(1.474) · 20-30 €","Argentina · Carrer de Sant Joaquim, 15
Restaurante acogedor con carnes argentinas
Abierto ⋅ Cierra a las 17:00 ⋅ Próxima apertura: 19:30","Argentina · Carrer de Sant Joaquim, 15"
45,Cobs & Tops - Badalona,"4,9",(257),"4,9(257) · 1-10 €","Repostería ·  · Carrer de Mar, 19
Cerrado ⋅ Apertura: 16:00","Repostería ·  · Carrer de Mar, 19"
46,Panadería Ca L'avi Marsal,"4,6",(136),"4,6(136) · 1-10 €","Panadería · Carrer de Sant Vicenç, 34
Abierto ⋅ Cierra a las 20:00","Panadería · Carrer de Sant Vicenç, 34"
47,Lunfardo,"4,9",(231),"4,9(231) · 10-20 €","Bocadillo · Carrer de Mar, 122
Abierto ⋅ Cierra a las 16:00 ⋅ Próxima apertura: 19:00","Bocadillo · Carrer de Mar, 122"
48,Hippie Coffee,"4,9",(141),"4,9(141) · 1-10 €","Cafetería ·  · Carrer de Sant Isidre, 9
Abierto ⋅ Cierra a las 17:30","Cafetería ·  · Carrer de Sant Isidre, 9"
49,Belros,"3,6",(52),"3,6(52)","Tienda de golosinas ·  · Passeig Olof Palme, 28-36
Colorido kiosko de golosinas a granel
Abierto ⋅ Cierra a las 21:00","Tienda de golosinas ·  · Passeig Olof Palme, 28-36"
50,Mr Pan,"4,4",(93),"4,4(93) · 1-10 €","Panadería ·  · Carrer de Maria Auxiliadora, 172
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Carrer de Maria Auxiliadora, 172"
