time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,8.8,4.0,15.0,0.0,,300.0,3.8,27.8,1025.5,
2023-01-02,8.7,3.0,14.0,0.0,,310.0,3.4,31.5,1024.3,
2023-01-03,10.9,8.0,16.0,0.6,,298.0,5.0,24.1,1028.9,
2023-01-04,8.6,3.0,16.0,0.0,,273.0,4.6,29.6,1032.2,
2023-01-05,7.5,2.0,16.0,0.0,,294.0,4.4,31.5,1028.3,
2023-01-06,6.4,0.0,15.0,0.0,,304.0,3.8,29.6,1024.3,
2023-01-07,7.3,1.0,14.0,0.0,,287.0,9.9,33.3,1020.3,
2023-01-08,12.1,8.0,14.0,1.6,,251.0,11.7,33.3,1012.6,
2023-01-09,12.6,9.0,16.0,0.0,,278.0,16.3,40.8,1016.0,
2023-01-10,8.1,3.0,15.0,0.0,,312.0,4.4,29.6,1026.4,
2023-01-11,8.4,4.0,15.0,0.0,,279.0,4.9,24.1,1024.4,
2023-01-12,8.2,3.0,15.0,0.0,,284.0,6.9,29.6,1026.8,
2023-01-13,8.0,3.0,16.0,0.0,,313.0,3.8,29.6,1025.0,
2023-01-14,8.0,2.0,17.0,0.0,,284.0,9.5,33.3,1023.8,
2023-01-15,11.6,7.0,17.0,0.3,,253.0,12.0,31.5,1016.5,
2023-01-16,9.0,4.0,13.0,0.3,,259.0,15.8,46.3,1006.3,
2023-01-17,11.4,7.0,15.0,0.0,,256.0,27.1,59.3,992.4,
2023-01-18,7.3,4.0,12.0,0.0,,278.0,18.3,40.8,1000.0,
2023-01-19,6.6,3.0,10.0,0.0,,262.0,18.1,40.8,1010.0,
2023-01-20,7.3,1.0,14.0,0.0,,280.0,10.0,31.5,1012.9,
2023-01-21,4.0,-3.0,10.0,0.0,,300.0,13.2,38.9,1017.0,
2023-01-22,2.8,-4.0,11.0,0.0,,291.0,6.6,25.9,1019.1,
2023-01-23,1.7,-5.0,8.0,0.0,,301.0,6.1,25.9,1020.0,
2023-01-24,3.7,2.0,6.0,0.1,,302.0,5.6,27.8,1024.5,
2023-01-25,6.5,2.0,13.0,0.0,,288.0,8.1,29.6,1022.8,
2023-01-26,3.2,-2.0,10.0,0.0,,294.0,6.9,27.8,1015.6,
2023-01-27,4.1,-1.0,11.0,0.0,,292.0,5.3,29.6,1013.0,
2023-01-28,3.5,-2.0,9.0,0.6,,336.0,6.4,29.6,1017.7,
2023-01-29,4.8,-1.0,10.0,0.0,,280.0,5.2,25.9,1024.3,
2023-01-30,4.7,-1.0,12.0,0.0,,294.0,9.9,27.8,1026.1,
2023-01-31,5.7,0.0,14.0,0.0,,275.0,6.5,31.5,1026.1,
2023-02-01,5.8,-1.0,15.0,0.0,,282.0,5.7,31.5,1027.4,
2023-02-02,7.0,-1.0,17.0,0.0,,281.0,5.5,33.3,1028.0,
2023-02-03,7.8,0.0,19.0,0.0,,284.0,5.2,31.5,1029.9,
2023-02-04,9.0,1.0,21.0,0.0,,294.0,6.0,27.8,1026.6,
2023-02-05,8.6,2.0,17.0,0.0,,268.0,6.8,35.2,1029.5,
2023-02-06,8.0,6.0,10.0,0.0,,43.0,9.7,50.0,1026.5,
2023-02-07,7.4,5.0,8.0,38.4,,40.0,12.5,59.3,1024.6,
2023-02-08,7.9,7.0,9.0,1.2,,56.0,12.0,46.3,1028.4,
2023-02-09,6.9,4.0,11.0,0.0,,25.0,6.8,31.5,1032.3,
2023-02-10,6.0,0.0,13.0,0.0,,293.0,5.7,29.6,1036.3,
2023-02-11,4.6,-2.0,13.0,0.0,,302.0,6.3,31.5,1034.8,
2023-02-12,5.1,-2.0,14.0,0.0,,271.0,5.2,33.3,1033.7,
2023-02-13,6.0,-2.0,15.0,0.0,,297.0,5.1,31.5,1034.8,
2023-02-14,6.5,0.0,15.0,0.0,,283.0,4.4,31.5,1033.3,
2023-02-15,7.7,2.0,15.0,0.0,,316.0,5.1,27.8,1029.4,
2023-02-16,6.5,2.0,13.0,0.0,,302.0,4.7,29.6,1030.4,
2023-02-17,8.2,0.0,19.0,0.0,,269.0,5.4,27.8,1031.6,
2023-02-18,9.9,2.0,21.0,0.0,,278.0,4.4,29.6,1029.8,
2023-02-19,10.2,2.0,19.0,0.0,,333.0,4.3,25.9,1026.9,
2023-02-20,9.7,4.0,17.0,0.0,,226.0,8.3,24.1,1025.6,
2023-02-21,11.5,4.0,19.0,0.4,,289.0,5.5,27.8,1020.0,
2023-02-22,11.3,7.0,16.0,0.4,,96.0,6.6,22.2,1017.0,
2023-02-23,9.6,6.0,12.0,6.4,,83.0,4.8,29.6,1011.6,
2023-02-24,8.6,6.0,12.0,7.0,,272.0,12.0,29.6,1007.7,
2023-02-25,7.5,4.0,12.0,0.0,,280.0,7.4,25.9,1003.6,
2023-02-26,7.4,4.0,12.0,8.3,,326.0,8.3,27.8,1002.1,
2023-02-27,4.2,0.0,8.0,3.0,,231.0,9.1,27.8,1008.8,
2023-02-28,7.8,5.0,13.0,0.0,,286.0,15.4,31.5,1013.1,
2023-03-01,5.4,-1.0,12.0,0.0,,255.0,7.2,31.5,1015.1,
2023-03-02,5.5,1.0,11.0,0.1,,297.0,6.1,27.8,1015.6,
2023-03-03,6.9,0.0,15.0,0.0,,285.0,6.4,27.8,1017.3,
